translation,transliteration,charater_count
"Total of your silver, both the proceeds from the tin and that from Šukkutum, 15 minas 12 shekels of silver, Šu-Hubur brings to you. The rest of your silver, 2 minas owed by Šukkutum – is your silver. Silver for purchases he and <gap>set down with Šu-Hubur.",e-tí-qám ŠUNIGIN KÙ.BABBAR-pí-kà lu ší-im AN.NA lu ša Šu-ki-tim 15 ma-na 12 GÍN KÙ.BABBAR Šu-Hu-bur na-áš-a-kum ší-tí KÙ.BABBAR-pí-kà 2 ma-na ša li-bi Šu-ki-tim KÙ.BABBAR-kà KÙ.BABBAR a-na ší-a-ma-tim šu-ut ú ma tí iš-tí Šu-Hu-bur iš-ku-nu-ni,242
"Month of kuzallum, eponym of Aššur-imittī, the boatman.",ITU.KAM ku-zal-li li-mu-um A-šùr-i-mì-tí ma-lá-hu-um,52
Lipit-Ištar brings you 2 shekels of silver.,2 GÍN KÙ.BABBAR Li-ip-tí-Ištar na-áš-a-ki-im 2 14 GÍN,53
"""It is the memoranda with your seal and my seal. Come on, let us seize three men and let us settle in accordance with the memoranda that are sealed with our seals.",ta-ah-sí-sá-tum ku-nu-ku-kà ú ku-nu-ku-ú-a ba-am 3 lu ni-iṣ-ba-at-ma a-ma-lá ta-ah-sí-sá-tim ša i-na ku-nu-ki-ni kà-an-kà-ni lu ni-iz-ku,136
Let us confront 5 impartial investors with our father's agents to prove that for every shekel of silver that our father's agents checked us for in response to the missive from our father that Idnaya brought,a-na-ku-ma al-kam 5 um-me-a-ni a-hi-ú-tim a-ṣé-er ša-zu-úz-tí a-bi-ni lu nu-ṭa-hi-ma a-na KÙ.BABBAR 1 GÍN ša ša-zu-úz-tí a-bi-ni i-ša na-áš-pé-er-tí a-bi-ni ša Id-na-a ub-lá-ni-ma,179
"For the silver, the proceeds from the goods and his outstanding claims, that we cleared with them while our father was alive, and a message from his agents and one from us went back to him in the City with his messenger Idnaya concerning how much silver was deposited with me and with you.",a-na KÙ.BABBAR ša ší-im lu-qú-tim ú ba-a-ba-tí-šu is-ni-qú-ni-a-tí-ni-ma,72
"To my representatives: Take away my tablets from him! Whether he took silver from somewhere there, or left tablets as collateral, or pledged a slave girl to someone: Let your report come to me regarding the receipt of the value of the goods in question!",a-ta ta-bé-lá-ni a-na ša ki-ma i-a-tí qí-bi-ma ṭup-pí-a eṭ-ra-šu a-ma-kam lu a-a-kam-ma KÙ.BABBAR il-qé lu ṭup-pì a-na ša-pá-ar-tim i-dí lu am-tám a-na ma-ma-an i-dí ú-ru-ub a-wi-tim ší-a-tí té-er-ta-ku-nu li-li-kam,215
<gap> shekels of silver plus 1 black textile.,<gap> GÍN KÙ.BABBAR 1 šu-ru-um a-ha-ma,38
"But you had not written me any message that I must give him the price of the donkey! 13 shekels of silver was the transport tariff for 13 minas of silver. As to the 17 shekels of silver about which you said: ""They are for your sacrifices""—but apart from the 10 shekels which you gave me I have not taken anything.",ú mì-ma tí-ir-ta-kà ša ší-im ANŠE dí-šum lá ta-áš-ta-áp-ra-am 13 GÍN KÙ.BABBAR ša-du-a-at 13 ma-na KÙ-pì-im 17 GÍN KÙ.BABBAR ša um-ma a-ta-ma a-na ni-qé-kà a-lá-an 10 GÍN KÙ.BABBAR ša ta-dí-na-ni mì-ma ú-lá al-qé,212
"Hand the slave-girl that I left to Zini over to Ibni-Adad""'.",ṣú-ha-ar-tám ša a-na Zi-ni e-zi-bu a-na qá-tí Ib-ni- {d}IŠKUR dí-in,67
"He must not delay. If he does not enter <gap>the silver proceeds from the textiles <gap>Also, why have you written as follows: ""You must not touch the grain under my seal.""",ṭur4-dam i-sà-hu-ur šu-ma lá e-ra-ba-am a-<gap>KÙ.BABBAR ší-im TÚG.HI.A <gap>ù mì-šu ša ta-áš-pu-ra-ni um-ma a-ta-ma a-na ú-tí-tim ša ku-nu-ki-a,144
"Then you must rent a house and settle there. Further, should there be no purchaser, you must still leave the house. Indeed, you must rent a house and settle there!",É-tám ag-ra-ma ta-áš-ba ù šu-ma ša-i-mu-um lá-šu a-tù-nu ṣí-a ma-a É-tám ag-ra-ma ta-áš-ba,90
"You do not know! When my father died, it was calculated that many of his silver and documents were counted.",lá té-dí-a ki-ma i-nu-mì a-bi me-tù-ni mì-iš-hu-um i-ši-ik-nu-ma KÙ.BABBAR ma-dum ú ṭup-pí ša a-bi-a im-ta-áš-hu-ni,115
